job_title,country,what_do_with_data,generate_human_data,file_size,subject_area,molecular_or_gene_data,deposit_repo_always,aware_should_deposit,generate_other_types,data_discoverable_importance,barrier_lack_of_time,barrier_organizing_data,barrier_which_repo,barrier_copyright_licensing,barrier_sharing_cost,barrier_other,interest_data_dep_service,interest_data_discov_service,have_data_to_deposit,want_other_help,want_help_with,have_addtl_info,addtl_info
Director,DE - Germany,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,FALSE,NA,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,NA,7,7,TRUE,FALSE,NA,0,NA
Postdoctoral researcher,US - United States,deposit_repo,FALSE,100Mb - 1Gb,biological_sciences,FALSE,NA,FALSE,TRUE,10,TRUE,FALSE,TRUE,TRUE,FALSE,NA,7,9,FALSE,FALSE,NA,0,NA
Professor,HU - Hungary,both,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,NA,FALSE,10,FALSE,TRUE,FALSE,FALSE,FALSE,NA,6,6,FALSE,TRUE,some easier way of sharing the data,0,NA
Lecturer (tenured),IE - Ireland,neither,FALSE,5Gb - 20Gb,physical_sciences,NA,NA,NA,NA,8,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,3,FALSE,TRUE,Free backup space.,1,"Your survey Qu 5 restricted answering to a max of 20Gb. Boy, do you not understand the volumes of data generated by physical science! 10 times that - 200 Gb - would be a ""small"" project for me."
CSO,US - United States,both,FALSE,100Mb - 1Gb,biological_sciences,FALSE,NA,TRUE,TRUE,8,TRUE,FALSE,FALSE,FALSE,FALSE,NA,5,7,FALSE,FALSE,NA,0,NA
prof,IT - Italy,deposit_repo,TRUE,<20Mb,biological_sciences,TRUE,TRUE,NA,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,NA,3,5,FALSE,FALSE,NA,0,NA
posdoc,NO - Norway,submit_suppl,FALSE,1Gb - 5Gb,biological_sciences,TRUE,TRUE,NA,TRUE,7,FALSE,FALSE,TRUE,FALSE,FALSE,NA,8,NA,FALSE,TRUE,NA,NA,NA
Postdoc,NO - Norway,submit_suppl,FALSE,20Mb -100Mb,biological_sciences,TRUE,FALSE,NA,FALSE,9,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,6,FALSE,FALSE,NA,0,NA
Prof.,ES - Spain,neither,FALSE,100Mb - 1Gb,earth_sciences,NA,NA,NA,NA,6,TRUE,TRUE,TRUE,TRUE,FALSE,NA,5,6,FALSE,FALSE,NA,0,NA
Associate Professor,GR - Greece,both,FALSE,20Mb -100Mb,biological_sciences,TRUE,TRUE,NA,TRUE,8,TRUE,FALSE,TRUE,TRUE,FALSE,NA,8,8,TRUE,FALSE,NA,0,NA
